Таблица значений функции, заданной графически
   X   |    Y
-------------------
 -9.00 |   0.00
 -8.50 |   0.00
 -8.00 |   0.00
 -7.50 |   0.00
 -7.00 |   0.00
 -6.50 |   0.50
 -6.00 |   1.00
 -5.50 |   1.50
 -5.00 |   2.00
 -4.50 |   2.50
 -4.00 |   3.00
 -3.50 |   3.50
 -3.00 |   4.00
 -2.50 |   4.00
 -2.00 |   4.00
 -1.50 |   2.25
 -1.00 |   1.00
 -0.50 |   0.25
  0.00 |   0.00
  0.50 |   0.25
  1.00 |   1.00
  1.50 |   2.25
  2.00 |   4.00
  2.50 |   3.00
  3.00 |   2.00
  3.50 |   1.00
  4.00 |   0.00
  4.50 |   0.00
  5.00 |   0.00
  5.50 |   0.00
  6.00 |   0.00
  6.50 |   0.00
  7.00 |   0.00
